Sl.No,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,0,0,0,,,,,,
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0,,,,,,
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0,,,,,,
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0,,,,,,
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0,,,,,,
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,2,0,0,0,,,,,,
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0,,,,,,
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0,,,,,,
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,2,0,0,0,,,,,,
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,0,1,0,0,,,,,,
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0,,,,,,
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0,,,,,,
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0,,,,,,
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,11,1,1,0,,,,,,
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,78,5,7,8,,,,,,
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0,0,0,0,,,,,,
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,3,0,0,0,,,,,,
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,1,0,0,0,,,,,,
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0,,,,,,
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0,,,,,,
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0,,,,,,
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0,,,,,,
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0,,,,,,
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,1,0,0,0,,,,,,
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,36,2,1,3,,,,,,
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0,,,,,,
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,3,1,2,0,,,,,,
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0,0,0,0,,,,,,
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0,,,,,,
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0,,,,,,
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,1,0,0,0,,,,,,
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,9,2,1,1,,,,,,
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,1,0,0,0,,,,,,
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,8,1,0,2,,,,,,
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,11,1,2,0,,,,,,
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0,,,,,,
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,1,2,0,0,,,,,,
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,3,1,0,1,,,,,,
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,37,0,6,6,,,,,,
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,34,4,2,5,,,,,,
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0,,,,,,
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0,,,,,,
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0,0,0,0,,,,,,
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,300,29,32,28,,,,,,
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,8,0,2,2,,,,,,
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,85,11,7,8,,,,,,
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0,,,,,,
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,706,82,92,91,,,,,,
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,1949,197,221,257,,,,,,
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,7,1,0,0,,,,,,
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0,,,,,,
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,3,1,0,0,,,,,,
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,0,0,0,0,,,,,,
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,52,10,5,2,,,,,,
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0,,,,,,
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0,0,0,0,,,,,,
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,16,1,1,2,,,,,,
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0,,,,,,
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0,,,,,,
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,0,0,0,,,,,,
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0,,,,,,
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,3,0,1,0,,,,,,
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,5,2,0,0,,,,,,
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0,,,,,,
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,9,1,1,0,,,,,,
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0,,,,,,
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,4,0,2,0,,,,,,
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0,,,,,,
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,6,1,0,2,,,,,,
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0,,,,,,
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0,,,,,,
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,349,42,40,31,,,,,,
127,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0,,,,,,
128,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,23,7,3,0,,,,,,
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,24,4,4,2,,,,,,
130,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0,,,,,,
131,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0,,,,,,
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,13,0,0,1,,,,,,
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,25,5,3,2,,,,,,
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,38,6,3,4,,,,,,
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1,0,0,0,,,,,,
136,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,100,15,14,3,,,,,,
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0,,,,,,
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,115,19,5,8,,,,,,
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,75,12,9,4,,,,,,
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,7,1,0,1,,,,,,
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,1,0,0,1,,,,,,
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,48,13,4,2,,,,,,
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,557,67,41,41,,,,,,
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,501,52,54,34,,,,,,
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,40,5,6,3,,,,,,
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1973,224,198,172,,,,,,
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2,0,0,0,,,,,,
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0,,,,,,
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,26,3,2,2,,,,,,
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,570,83,50,33,,,,,,
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,418,66,38,46,,,,,,
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,267,39,32,27,,,,,,
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,745,86,99,89,,,,,,
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0,,,,,,
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1,0,0,0,,,,,,
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2,1,0,0,,,,,,
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,28,3,2,1,,,,,,
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,53,5,8,2,,,,,,
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,13,2,0,1,,,,,,
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Government Office,3,0,0,3,,,,,,
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,59,9,6,5,,,,,,
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Mines,19,0,1,5,,,,,,
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,39,8,5,4,,,,,,
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,983,103,69,65,,,,,,
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Bus,29,0,11,7,,,,,,
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Snatching,109,0,34,37,,,,,,
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,10,1,1,2,,,,,,
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,195,26,20,27,,,,,,
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,385,42,58,36,,,,,,
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,80,21,6,4,,,,,,
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,72,12,10,7,,,,,,
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,8,1,0,1,,,,,,
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,185,29,23,18,,,,,,
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,8506,1079,874,817,,,,,,
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,231,28,28,28,,,,,,
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,255,31,25,32,,,,,,
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,3,0,0,0,,,,,,
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1036,184,107,89,,,,,,
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,5,1,2,1,,,,,,
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0,,,,,,
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,5,0,0,1,,,,,,
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,0,0,0,,,,,,
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,186,22,21,17,,,,,,
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,443,54,44,48,,,,,,
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1211,121,106,126,,,,,,
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1392,193,149,130,,,,,,
187,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,33,8,4,7,,,,,,
188,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,208,22,18,31,,,,,,
189,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1458,214,147,164,,,,,,
190,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,386,39,34,47,,,,,,
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,772,86,73,44,,,,,,
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0,0,0,0,,,,,,
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,0,0,0,,,,,,
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1,0,0,0,,,,,,
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2,0,0,0,,,,,,
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,14,1,1,2,,,,,,
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5,1,1,0,,,,,,
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0,,,,,,
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5,3,0,0,,,,,,
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0,,,,,,
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,21,0,2,2,,,,,,
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,20,0,0,18,,,,,,
203,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3,0,0,0,,,,,,
204,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,0,0,0,,,,,,
205,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1,0,0,0,,,,,,
206,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,1905,241,151,211,,,,,,
207,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)","OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",0,0,0,0,,,,,,
208,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC","OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",79,11,3,12,,,,,,
209,A - IPC Crime,CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST,425,54,58,42,,,,,,
210,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,5094,620,518,534,,,,,,
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0,,,,,,
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0,,,,,,
213,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0,,,,,,
214,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0,,,,,,
215,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),27,1,4,2,,,,,,
216,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,1,0,0,0,,,,,,
